HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,0,27,48391,1563,5
1,1,2,48397,2147,22
1,0,27,48400,2733,9
1,1,102,48402,2967,16
1,1,50,48403,3086,9
1,0,90,48419,3529,11
1,1,4,48422,2913,2
1,1,108,48426,266,20
1,1,44,48429,2072,27
1,1,95,48438,3111,6
1,1,74,48441,1472,0
1,1,45,48441,1471,21
1,1,46,48441,1475,4
1,1,72,48441,1482,8
1,1,73,48441,1480,3
1,1,43,48441,1483,15
1,1,44,48441,1479,0
1,1,75,48441,1480,21
1,1,84,48441,3364,9
1,1,51,48443,3518,13
1,1,4,48445,1625,25
1,0,4,48448,3259,27
1,1,115,48457,1253,26
1,1,78,48457,3370,22
1,1,16,48458,1047,7
1,0,71,48463,877,11
1,0,17,48465,3111,20
1,0,3,48468,1236,27
1,0,9,48482,42,26
1,0,97,48482,46,19
1,1,63,48482,44,27
1,0,7,48482,44,1
1,1,64,48482,43,5
1,0,98,48482,44,12
1,0,6,48482,52,17
1,0,99,48482,54,1
1,0,8,48482,53,5
1,1,62,48482,54,9
1,0,139,48482,57,0
1,0,100,48482,55,22
1,0,46,48500,2042,22
1,1,100,48502,2679,18
1,1,80,48505,483,23
1,1,68,48505,3062,23
1,1,2,48513,698,12
1,1,75,48523,2427,3
1,1,126,48525,3442,10
1,0,112,48526,2738,9
1,0,98,48528,3210,22
1,0,86,48531,3073,16
1,1,4,48535,326,9
1,0,86,48536,2361,17
1,1,30,48538,881,15
1,1,111,48538,883,26
1,1,27,48538,880,14
1,1,112,48538,884,6
1,1,32,48538,890,15
1,1,139,48538,892,0
1,1,25,48538,888,21
1,1,113,48538,885,6
1,1,114,48538,885,8
1,1,52,48539,1605,8
1,0,90,48539,3049,11
1,1,34,48555,600,18
1,0,105,48563,129,10
1,1,64,48569,370,26
1,1,52,48569,2853,16
1,1,75,48574,1763,21
1,1,52,48579,3171,11
1,1,52,48579,3185,13
1,1,115,48583,3151,25
1,1,51,48585,717,28
1,1,22,48586,2623,9
1,1,10,48590,3152,11
1,1,99,48593,122,26
1,1,24,48597,365,14
1,0,77,48600,2928,1
1,1,76,48602,2715,4
1,0,4,48604,3027,15
1,0,64,48605,955,19
1,1,44,48609,847,13
1,1,34,48613,2462,8
1,0,4,48623,2474,8
1,1,98,48626,2682,16
1,0,46,48639,2542,28
1,1,11,48640,33,4
1,1,12,48647,724,3
1,1,58,48648,3489,9
1,1,38,48661,524,15
1,1,26,48661,1451,10
1,1,16,48662,2774,16
