HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,15,1289770514,1177,21
1,1,14,1289770514,1179,15
1,1,14,1289770514,1187,27
1,1,13,1289770514,1192,0
1,1,13,1289770514,1199,4
1,1,42,1289770531,574,28
1,1,41,1289770531,577,29
1,1,139,1289770531,585,0
1,1,39,1289770531,579,28
1,1,40,1289770531,583,9
1,1,11,1289770546,2450,21
1,1,72,1289770547,2774,0
1,1,74,1289770550,2767,6
1,1,73,1289770550,2769,0
1,1,71,1289770550,2780,1
1,1,76,1289770550,2777,3
1,1,139,1289770550,2782,0
1,1,7,1289770556,1636,4
1,1,16,1289770557,767,27
1,1,70,1289770566,1179,13
1,1,68,1289770574,1043,24
1,1,67,1289770574,1050,9
1,1,66,1289770574,1054,26
1,1,139,1289770574,1056,0
1,1,69,1289770574,1053,2
1,1,58,1289770574,1207,17
1,1,61,1289770574,1209,8
1,1,139,1289770574,1213,0
1,1,59,1289770574,1206,6
1,1,56,1289770574,1211,15
1,1,29,1289770577,3414,19
1,1,25,1289770586,3393,1
1,1,50,1289770592,1807,19
1,1,9,1289770595,913,4
1,1,8,1289770595,915,12
1,1,10,1289770595,920,25
1,1,139,1289770595,926,0
1,1,7,1289770595,924,0
1,1,4,1289770609,2856,20
1,1,57,1289770612,2631,22
1,1,5,1289770613,3275,21
1,1,29,1289770618,2455,1
1,1,30,1289770618,2456,11
1,1,32,1289770618,2465,25
1,1,139,1289770618,2471,0
1,1,31,1289770618,2469,11
1,1,29,1289770618,2472,24
1,1,52,1289770633,3439,19
1,1,53,1289770633,3439,6
1,1,54,1289770633,3447,29
1,1,139,1289770633,3451,0
1,1,51,1289770633,3449,0
1,1,18,1289770648,2193,12
1,1,20,1289770648,2193,20
1,1,15,1289770648,2202,7
1,1,139,1289770648,2204,0
1,1,17,1289770648,2201,9
1,1,67,1289770661,575,17
1,1,79,1289770667,2366,26
1,1,78,1289770667,2374,3
1,1,80,1289770667,2379,24
1,1,11,1289770680,3406,23
1,1,11,1289770680,3429,8
1,1,43,1289770688,3175,13
1,1,40,1289770691,3296,11
1,1,71,1289770693,3316,23
1,1,11,1289770715,423,6
1,1,16,1289770734,2987,2
1,1,71,1289770741,2483,4
1,1,72,1289770741,2486,28
1,1,74,1289770741,2493,8
1,1,64,1289770745,586,0
1,1,68,1289770745,593,25
